,E Series Sensor Data,Linear Regression Prediction,Reference pm Measurement
738,6.136482759,4.045323882,6
739,26.22834483,16.26226407,17
740,20.52875862,12.7820917,14
741,91.17689655,55.68216708,55
742,62.45741379,38.25659786,43
743,46.63051724,28.64108187,28
744,46.08413793,28.30272349,26
745,35.02982759,21.58393104,21
746,37.56413793,23.1269414,22
747,38.35586207,23.61943204,21
748,54.53206897,33.45127516,28
749,42.60396552,26.21478367,23
750,15.48653448,9.753398867,6
751,2.125034483,1.614246271,2
752,1.738551724,1.390464303,1
753,2.311758621,1.745783998,2
754,3.149568966,2.251832255,2
755,3.156333333,2.253305578,2
756,9.931241379,6.350441239,6
757,43.99017241,27.03707974,26
758,28.34982759,17.54612896,17
759,27.435,16.98716326,18
760,19.36051724,12.07881636,12
761,21.67431034,13.48342353,14
762,23.65542373,14.68636232,21
763,36.68084746,22.60191386,27
764,16.26586207,10.20524315,10
765,19.67706897,12.25900364,12
766,40.66655172,25.00840972,26
767,58.97551724,36.13353644,37
768,52.04793103,31.92599024,35
769,54.775,33.56147075,33
770,64.67689655,39.58407525,33
771,68.60137931,41.96496703,41
772,29.09258621,17.96475583,21
773,38.64224138,23.7767821,23
774,17.44327586,10.90331656,11
775,28.36017241,17.52448548,16
776,32.22258621,19.87737366,21
777,29.77137931,18.38560798,19
778,16.71103448,10.46199676,9
779,7.394965517,4.802178373,7
780,12.29453448,7.781217657,5
781,17.29022414,10.81680787,4
782,10.28882759,6.559758187,3
783,8.225758621,5.31211843,3
784,11.41975862,7.259500133,2
785,8.327241379,5.391342228,2
786,26.75155172,16.57207205,18
787,11.52063793,7.321851109,6
788,4.966913793,3.350054811,4
789,4.834775862,3.29007976,2
790,6.916793103,4.569972556,3
791,5.012844828,3.396849436,3
792,5.909655172,3.931454772,3
793,11.63351724,7.433622611,5
794,12.41113793,7.906453233,7
795,22.05625862,13.76751971,11
796,15.41948276,9.744140719,12
797,17.73684483,11.15419694,16
798,5.467051724,3.701798293,0
799,2.4885,1.888270665,0
800,3.313275862,2.415750251,2
801,2.0905,1.653023084,2
802,2.405155172,1.869976461,1
803,10.85975862,6.970748477,6
804,6.854534483,4.574882815,6
805,11.00244828,7.088722488,6
806,7.383810345,4.870815862,5
807,13.51636207,8.601341178,11
808,15.03724138,9.529924269,17
809,10.53815517,6.825785064,7
810,6.2215,4.209250967,5
811,8.027258621,5.313252473,7
812,5.421051724,3.754182948,5
813,26.63475862,16.6429443,19
814,17.72246552,11.18803402,13
815,18.04118644,11.3871564,11
816,27.58576271,17.22666148,15
817,11.09474138,7.206920343,8
818,20.56051724,12.95347855,16
819,25.58637931,16.02139445,20
820,37.9987931,23.52926302,20
821,30.39706897,18.92493661,15
822,20.36551724,12.85509333,10
823,36.395,22.58278701,17
824,19.56913793,12.37328913,8
825,16.21603448,10.32363567,14
826,14.95275862,9.557038464,11
827,15.01344828,9.622451707,7
828,15.34568966,9.819001668,7
829,15.36522414,9.85315986,8
830,13.00618966,8.402290413,9
831,10.72034483,7.026365198,7
832,12.33898276,8.011751642,7
833,9.444327586,6.267841009,6
834,16.71448276,10.70328839,7
835,16.45275862,10.55109854,6
836,14.44075862,9.317985207,6
837,9.682526316,6.442298463,4
838,6.155206897,4.295582103,3
839,33.94325862,21.17379577,23
840,47.3265,29.31366263,23
841,10.87810345,7.175585005,5
842,12.08317241,7.895456462,5
843,13.36798276,8.696159085,6
844,17.63965517,11.28686924,9
845,24.07672414,15.18586427,10
846,13.7762069,8.924236428,11
847,14.45,9.360000258,6
848,12.18017241,7.954864558,3
