dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-13 17:00,1.497574713,-11.43931034,30.37465517,914.8448276,18,350,-5.105399025,-17.26079085,0,0,0,1,2
2015-11-13 18:00,1.066574713,-11.73310345,30.35896552,915.2758621,17,350,-4.821765746,-16.30185803,0,0,0,1,1
2015-11-13 19:00,1.261494253,-12.18775862,30.35224138,916.0344828,16,350,-4.538132467,-15.3429252,0,0,0,1,0
2015-11-13 20:00,1.57033908,-12.29810345,29.70517241,917,14,350,-3.970865909,-13.42505955,0,0,0,1,1
2015-11-13 21:00,1.311218391,-12.61137931,29.83793103,918.1206897,14,350,-3.970865909,-13.42505955,0,0,0,1,1
2015-11-13 22:00,1.141752874,-12.83241379,28.38534483,919.1896552,17,350,-4.821765746,-16.30185803,0,0,0,1,0
2015-11-13 23:00,1.144603448,-13.12810345,28.37051724,920.3793103,13,360,-3.687984189,12.4659044,0,0,0,1,1
2015-11-14 0:00,1.337178161,-13.53034483,28.12775862,921.3103448,16,350,-4.538132467,-15.3429252,0,0,0,1,2
2015-11-14 1:00,1.760051724,-14.00017241,26.99844828,922.2241379,17,340,12.91436127,11.05528258,0,0,0,1,0
2015-11-14 2:00,1.481793103,-14.02655172,26.5862069,923.1034483,20,350,-5.672665584,-19.1786565,0,0,0,1,1
2015-11-14 3:00,1.11733908,-14.35810345,26.09051724,924.1206897,17,350,-4.821765746,-16.30185803,0,0,0,1,3
2015-11-14 4:00,1.269609195,-14.87103448,25.93224138,925,15,340,11.39502465,9.754661102,0,0,0,1,3
2015-11-14 5:00,1.429847953,-15.11491228,24.38438596,925.5789474,13,340,9.87568803,8.454039622,0,0,0,1,2
2015-11-14 6:00,1.947293103,-15.47051724,23.39517241,926,14,330,-13.8767835,-1.853342809,0,0,0,1,1
2015-11-14 7:00,1.22654023,-16.11086207,22.33224138,926.3965517,12,310,-6.304171662,10.21065226,0,0,0,1,0
2015-11-14 8:00,2.69154023,-16.45448276,21.97431034,927,11,310,-5.778824024,9.359764575,0,0,0,1,3
2015-11-14 9:00,5.013086207,-16.45086207,21.83758621,927.5172414,12,300,-0.265159431,-11.99707008,0,0,0,1,4
2015-11-14 10:00,9.428448276,-16.25086207,21.32603448,928,10,310,-5.253476385,8.508876887,0,0,0,1,6
2015-11-14 11:00,6.695,-15.26465517,21.67672414,928.1896552,8,320,7.229640896,-3.425243425,0,0,0,1,5
2015-11-14 12:00,4.830672414,-14.24,21.50396552,928.1724138,10,340,7.5966831,6.503107402,0,0,0,1,5
2015-11-14 13:00,2.122028736,-13.97637931,22.49275862,928,12,310,-6.304171662,10.21065226,0,0,0,1,3
2015-11-14 14:00,3.967545977,-13.43172414,23.16103448,928,8,330,-7.929590574,-1.059053034,0,0,0,1,1
2015-11-14 15:00,2.516718391,-13.99465517,23.17241379,928,9,320,8.133346008,-3.853398853,0,0,0,1,2
2015-11-14 16:00,3.919522989,-15.075,23.17362069,928,7,290,3.937002487,5.787919437,0,0,0,1,2
2015-11-14 17:00,12.10258621,-15.75724138,23.23396552,928,7,290,3.937002487,5.787919437,0,0,0,1,7
2015-11-14 18:00,13.57195402,-15.83827586,23.36931034,928,4,280,-3.68695832,-1.551237683,0,0,0,1,10
2015-11-14 19:00,2.587057471,-15.62258621,24.0387931,928,2,360,-0.567382183,1.917831447,0,0,0,1,5
